,Airline,scores,compound,sent_type,Airline_Mentioned,Attribute_Mentioned,delta_airline,american_airline,united_airline,spirit_airline,air_canada,ryanair,frontier_airline,emirates_airline,southwest_airline,british_airway,comfort,in-flight_entertainment,customer_service,monetary_values,cleanliness,check-in_boarding,food_beverage
13315,Frontier_Airline,"{'neg': 0.162, 'neu': 0.795, 'pos': 0.043, 'compound': -0.8849}",-0.8849,0,['frontier_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13316,Frontier_Airline,"{'neg': 0.124, 'neu': 0.728, 'pos': 0.148, 'compound': 0.551}",0.551,2,['frontier_airline'],"['customer_service', 'monetary_values', 'check-in_boarding', 'comfort']",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
13317,Frontier_Airline,"{'neg': 0.046, 'neu': 0.954, 'pos': 0.0, 'compound': -0.6687}",-0.6687,0,['frontier_airline'],"['check-in_boarding', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
13318,Frontier_Airline,"{'neg': 0.035, 'neu': 0.882, 'pos': 0.082, 'compound': 0.9127}",0.9127,2,['frontier_airline'],"['monetary_values', 'check-in_boarding', 'comfort', 'customer_service']",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
13319,Frontier_Airline,"{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0,['frontier_airline'],"['check-in_boarding', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
13320,Frontier_Airline,"{'neg': 0.057, 'neu': 0.91, 'pos': 0.033, 'compound': -0.2263}",-0.2263,0,['frontier_airline'],['check-in_boarding'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13321,Frontier_Airline,"{'neg': 0.106, 'neu': 0.77, 'pos': 0.124, 'compound': 0.3197}",0.3197,2,['frontier_airline'],"['customer_service', 'check-in_boarding', 'comfort', 'monetary_values', 'cleanliness']",0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
13322,Frontier_Airline,"{'neg': 0.135, 'neu': 0.844, 'pos': 0.021, 'compound': -0.8735}",-0.8735,0,['frontier_airline'],"['food_beverage', 'monetary_values', 'check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
13323,Frontier_Airline,"{'neg': 0.045, 'neu': 0.552, 'pos': 0.403, 'compound': 0.9672}",0.9672,2,['frontier_airline'],"['customer_service', 'comfort', 'food_beverage']",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
13324,Frontier_Airline,"{'neg': 0.072, 'neu': 0.799, 'pos': 0.13, 'compound': 0.8627}",0.8627,2,['frontier_airline'],"['monetary_values', 'comfort', 'food_beverage', 'check-in_boarding']",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
13325,Frontier_Airline,"{'neg': 0.115, 'neu': 0.805, 'pos': 0.08, 'compound': -0.5859}",-0.5859,0,['frontier_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13326,Frontier_Airline,"{'neg': 0.037, 'neu': 0.834, 'pos': 0.129, 'compound': 0.927}",0.927,2,['frontier_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13327,Frontier_Airline,"{'neg': 0.115, 'neu': 0.78, 'pos': 0.104, 'compound': -0.1979}",-0.1979,0,['frontier_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13328,Frontier_Airline,"{'neg': 0.136, 'neu': 0.832, 'pos': 0.032, 'compound': -0.9302}",-0.9302,0,['frontier_airline'],"['monetary_values', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
13329,Frontier_Airline,"{'neg': 0.172, 'neu': 0.742, 'pos': 0.085, 'compound': -0.6352}",-0.6352,0,['frontier_airline'],"['check-in_boarding', 'monetary_values', 'customer_service', 'food_beverage']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
13330,Frontier_Airline,"{'neg': 0.035, 'neu': 0.965, 'pos': 0.0, 'compound': -0.6908}",-0.6908,0,['frontier_airline'],"['monetary_values', 'check-in_boarding', 'customer_service', 'comfort']",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
