,Airline_Mentioned,Attribute_Mentioned
407,['delta_airline'],['customer_service']
408,['delta_airline'],"['check-in_boarding', 'comfort']"
409,['delta_airline'],"['monetary_values', 'check-in_boarding']"
410,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
411,['delta_airline'],"['monetary_values', 'check-in_boarding']"
412,['delta_airline'],"['comfort', 'check-in_boarding', 'customer_service', 'monetary_values']"
413,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
414,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
415,"['delta_airline', 'southwest_airline']","['monetary_values', 'check-in_boarding', 'customer_service']"
416,['delta_airline'],"['check-in_boarding', 'comfort']"
417,['delta_airline'],['customer_service']
418,['delta_airline'],"['food_beverage', 'in-flight_entertainment', 'comfort']"
419,['delta_airline'],"['check-in_boarding', 'customer_service']"
420,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
421,['delta_airline'],"['check-in_boarding', 'customer_service']"
422,['delta_airline'],"['check-in_boarding', 'monetary_values']"
424,['delta_airline'],"['check-in_boarding', 'customer_service']"
425,['delta_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
426,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding', 'comfort', 'food_beverage']"
427,['delta_airline'],['check-in_boarding']
428,['delta_airline'],"['check-in_boarding', 'customer_service']"
429,['delta_airline'],"['check-in_boarding', 'customer_service']"
430,['delta_airline'],"['monetary_values', 'check-in_boarding']"
431,['delta_airline'],"['customer_service', 'check-in_boarding']"
432,['delta_airline'],"['customer_service', 'comfort', 'check-in_boarding']"
433,['delta_airline'],"['monetary_values', 'check-in_boarding']"
434,['delta_airline'],"['monetary_values', 'check-in_boarding', 'comfort']"
435,['delta_airline'],"['check-in_boarding', 'customer_service']"
436,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
437,['delta_airline'],"['check-in_boarding', 'comfort', 'customer_service', 'monetary_values']"
438,['delta_airline'],"['customer_service', 'check-in_boarding']"
439,['delta_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
440,['delta_airline'],"['comfort', 'check-in_boarding']"
441,['delta_airline'],['customer_service']
442,['delta_airline'],"['customer_service', 'comfort', 'in-flight_entertainment', 'check-in_boarding']"
443,['delta_airline'],['check-in_boarding']
444,['delta_airline'],"['monetary_values', 'check-in_boarding', 'comfort']"
445,['delta_airline'],"['check-in_boarding', 'customer_service', 'comfort']"
446,['delta_airline'],"['customer_service', 'monetary_values', 'comfort']"
